Starting Price is : $10.00
Day 1 price is $9.94
Day 2 price is $10.02
Day 3 price is $9.54
Day 4 price is $10.34
Day 5 price is $10.17
Day 6 price is $10.43
Day 7 price is $10.19
Day 8 price is $10.20
Day 9 price is $11.91
Day 10 price is $13.49
Day 11 price is $13.90
Day 12 price is $14.02
Day 13 price is $13.33
Day 14 price is $13.21
Day 15 price is $12.77
Day 16 price is $13.29
Day 17 price is $15.06
Day 18 price is $16.10
Day 19 price is $16.51
Day 20 price is $16.60
Day 21 price is $16.63
Day 22 price is $19.41
Day 23 price is $19.30
Day 24 price is $22.04
Day 25 price is $22.77
Day 26 price is $26.67
Day 27 price is $29.69
Day 28 price is $30.80
Day 29 price is $31.44
Day 30 price is $32.47
Day 31 price is $33.57
Day 32 price is $32.36
Day 33 price is $32.45
Day 34 price is $31.88
Day 35 price is $32.42
Day 36 price is $31.05
Day 37 price is $32.43
Day 38 price is $31.71
Day 39 price is $31.40
Day 40 price is $30.65
Day 41 price is $36.00
Day 42 price is $35.08
Day 43 price is $33.40
Day 44 price is $38.92
Day 45 price is $43.81
Day 46 price is $49.48
Day 47 price is $50.52
Day 48 price is $49.37
Day 49 price is $51.05
Day 50 price is $52.63
Day 51 price is $56.85
Day 52 price is $65.61
Day 53 price is $63.99
Day 54 price is $74.34
Day 55 price is $73.02
Day 56 price is $82.46
Day 57 price is $89.89
Day 58 price is $102.37
Day 59 price is $117.85
Day 60 price is $115.63
Day 61 price is $112.16
Day 62 price is $108.21
Day 63 price is $123.57
Day 64 price is $140.70
Day 65 price is $145.08
Day 66 price is $138.78
Day 67 price is $138.19
Day 68 price is $157.63
Day 69 price is $177.11
Day 70 price is $174.19
Day 71 price is $166.21
Day 72 price is $161.28
Day 73 price is $183.21
Day 74 price is $176.27
Day 75 price is $188.95
Day 76 price is $181.56
Day 77 price is $176.23
Day 78 price is $171.80
Day 79 price is $200.79
Day 80 price is $190.78
Day 81 price is $195.15
Day 82 price is $227.31
Day 83 price is $224.28
Day 84 price is $231.89
Day 85 price is $253.51
Day 86 price is $286.76
Day 87 price is $273.25
Day 88 price is $289.58
Day 89 price is $286.78
Day 90 price is $275.85
Day 91 price is $302.77
Day 92 price is $335.29
Day 93 price is $368.08
Day 94 price is $352.60
Day 95 price is $367.29
Day 96 price is $395.54
Day 97 price is $384.94
Day 98 price is $365.84
Day 99 price is $359.45
Day 100 price is $358.21
Day 101 price is $398.15
Day 102 price is $423.62
Day 103 price is $403.16
Day 104 price is $387.54
Day 105 price is $372.54
Day 106 price is $366.54
Day 107 price is $348.80
Day 108 price is $335.32
Day 109 price is $324.20
Day 110 price is $359.13
Day 111 price is $395.12
Day 112 price is $396.33
Day 113 price is $396.98
Day 114 price is $387.94
Day 115 price is $380.49
Day 116 price is $440.91
Day 117 price is $424.15
Day 118 price is $408.93
Day 119 price is $398.95
Day 120 price is $390.88
Day 121 price is $382.27
Day 122 price is $442.82
Day 123 price is $434.18
Day 124 price is $418.37
Day 125 price is $408.11
Day 126 price is $475.81
Day 127 price is $528.42
Day 128 price is $526.86
Day 129 price is $590.79
Day 130 price is $565.19
Day 131 price is $568.94
Day 132 price is $569.32
Day 133 price is $629.22
Day 134 price is $644.33
Day 135 price is $625.51
Day 136 price is $702.44
Day 137 price is $824.50
Day 138 price is $945.21
Day 139 price is $912.16
Day 140 price is $989.61
Day 141 price is $976.20
Day 142 price is $967.11
Day 143 price is $1,050.58
